id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
51220,2-fun de wakaru: Lord El-Melloi II Sei no Jikenbo,,finished_airing,ona,1,,light_novel,,,,pg_13,,,"['Fantasy', 'Supernatural']",
51476,Parasite,85,finished_airing,music,1,,original,160,17727,,pg_13,2022,winter,['Music'],
2069,Onna Senshi Efe & Jira: Gude no Monshou,526,finished_airing,movie,1,5.47,light_novel,1430,10774,,pg_13,1990,spring,"['Adventure', 'Fantasy']",['J.C.Staff']
2837,Ariel Deluxe,528,finished_airing,ova,2,5.58,novel,1469,10698,,pg_13,1991,winter,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",['J.C.Staff']
7189,Kotatsu Neko (TV),82,finished_airing,tv,26,,other,506,13617,,g,2009,fall,['Comedy'],
9749,Shin Otokogi,40,finished_airing,ova,2,,,251,16205,,r+,1998,spring,"['Organized Crime', 'Seinen']",
10261,Toufu Kozou,119,finished_airing,movie,1,5.88,novel,547,13384,,g,2011,spring,['Comedy'],
19989,Tatakae! Osper,47,finished_airing,tv,52,,,396,14396,,pg_13,1966,winter,"['Action', 'Sci-Fi', 'Shounen']",
21525,Geba Geba Shou Time!,81,finished_airing,ova,1,,,314,15313,,r+,1986,winter,['Comedy'],
22037,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,54,finished_airing,movie,1,,,245,16296,,pg,1991,summer,"['Comedy', 'Fantasy', 'Kids', 'Sci-Fi']",
22293,Mahou no Yousei Persia: Escape!,225,finished_airing,music,1,5.67,original,505,13621,,r+,1999,winter,['Music'],['Pierrot']
23829,Komatsu Sakyo Anime Gekijou,62,finished_airing,tv,24,,original,380,14566,,g,1989,fall,"['Comedy', 'Parody', 'Sci-Fi', 'Space']",['Gainax']
24085,Shura ga Yuku,31,finished_airing,ova,2,,manga,295,15573,,r+,1994,fall,"['Drama', 'Organized Crime', 'Seinen']",
25109,Inuyama Kamiko no Kireigoto ja Owaranai!,62,finished_airing,ona,2,,,254,16167,,g,2014,spring,['Slice of Life'],
25365,Pokemon XY: Koukoku no Princess Diancie,2908,finished_airing,special,1,6.24,game,6341,6738,,pg,2014,summer,"['Comedy', 'Fantasy', 'Kids']",['OLM']
26133,Paper Cranes Story: Kenta to Maiko,27,finished_airing,ova,1,,picture_book,163,17657,,g,2014,spring,"['Fantasy', 'Historical', 'Kids']",
28693,Seisho Gensou Fu: Adam to Eve,31,finished_airing,movie,1,,original,239,16372,,g,,,['Historical'],
29973,Aya Hito Shiki to Iu na no Ishi Hata,267,finished_airing,ona,1,4.3,original,542,13404,,g,,,['Avant Garde'],
